DSA,DBMS,OS,CN,Mathmetics,Aptitute,Comm,Problem Solving,Creative,Hackathons,Skill 1,Skill 2,Profile
99,97,74,89,42,86,77,3,5,5,HTML/CSS,Java,Software Engineer
31,7,67,61,24,92,62,4,10,3,Photoshop,C/C++,UI/UX
80,44,26,38,78,21,60,9,4,4,Python,Python,Network Engineer
77,88,70,58,30,49,55,3,7,7,R,Angular,Web Developer
58,90,56,38,45,36,87,3,7,1,HTML/CSS,Java,Tech Support
32,48,33,20,28,44,80,1,8,4,Photoshop,HTML/CSS,UI/UX
83,61,58,22,95,34,61,5,9,2,GitHub,React,UI/UX
55,94,58,69,70,88,69,6,7,2,Linux,Linux,DATA Scientist
84,68,51,6,71,74,74,4,6,1,HTML/CSS,BASH/SHELL,Tech Support
51,99,8,50,24,22,56,7,7,4,MYSQL,Node.js,Web Developer
70,89,49,62,87,94,65,7,7,4,Angular,Java,DATA Scientist
62,75,54,54,85,64,69,6,9,5,Deep Learning,HTML/CSS,DATA Scientist
95,87,91,85,79,83,73,7,7,4,Oracle,MYSQL,Software Engineer
98,78,78,87,81,82,60,7,7,4,Python,Machine Learning,Software Engineer
82,88,84,77,72,85,85,9,6,3,Oracle,MYSQL,Software Engineer
97,26,58,64,77,94,68,8,6,3,Python,C/C++,DATA Scientist
6,13,76,36,7,34,51,6,5,4,Angular,HTML/CSS,Tech Support
96,46,10,83,4,70,89,5,7,0,Python,Node.js,Network Engineer
72,70,37,64,79,92,77,6,6,4,R,R,DATA Scientist
86,56,76,7,86,61,66,6,5,0,Python,Python,Network Engineer
84,37,92,45,79,70,80,5,6,4,React,C/C++,Software Engineer
46,74,67,36,15,45,49,5,9,5,HTML/CSS,Figma,Web Developer
55,90,35,53,36,48,80,4,8,3,Photoshop,HTML/CSS,Web Developer
56,75,85,53,92,71,55,8,7,8,Angular,Python,DATA Scientist
72,61,58,87,78,90,74,7,4,0,Pytorch,Machine Learning,DATA Scientist
70,73,78,67,96,62,62,8,5,2,Tensorflow,Pytorch,DATA Scientist
16,89,80,92,41,75,73,6,5,1,Oracle,Linux,Database Administrator
84,35,69,83,81,68,71,7,7,1,Pytorch,Java,Software Engineer
58,42,6,92,9,18,67,1,10,0,Java,C/C++,Tech Support
18,95,70,66,16,65,65,5,6,1,MYSQL,Java,Tech Support
67,80,41,52,34,81,57,3,7,9,Javascript,Javascript,UI/UX
70,70,83,89,75,84,85,7,6,1,MYSQL,MYSQL,Network Engineer
78,80,84,55,81,52,62,8,6,1,Python,Tensorflow,DATA Scientist
6,77,50,13,47,45,89,5,4,0,MYSQL,MYSQL,Database Administrator
47,88,6,75,9,46,65,4,7,1,Oracle,C/C++,Database Administrator
60,78,38,43,24,39,51,1,9,4,GitHub,HTML/CSS,UI/UX
78,92,74,77,41,54,72,7,7,3,C/C++,C/C++,Database Administrator
75,94,79,85,83,95,73,8,7,4,Oracle,Python,Software Engineer
24,25,66,16,21,32,61,1,5,0,Python,Python,Tech Support
56,35,93,45,45,42,52,4,9,5,HTML/CSS,GitHub,UI/UX
74,80,55,9,79,74,63,7,7,2,C/C++,Linux,Database Administrator
69,9,77,48,7,39,69,3,7,4,GitHub,GitHub,UI/UX
82,85,39,95,73,86,63,6,7,4,Python,Ansible,Software Engineer
82,39,43,29,20,27,62,2,10,5,HTML/CSS,GitHub,UI/UX
42,43,44,24,31,15,84,3,7,4,Photoshop,Figma,UI/UX
76,97,81,85,78,71,63,5,7,1,Ansible,BASH/SHELL,Network Engineer
59,92,71,65,55,66,73,3,6,0,Oracle,Python,Database Administrator
58,84,86,65,49,72,65,7,6,0,Oracle,MYSQL,Database Administrator
81,70,27,49,76,95,77,7,6,1,C/C++,HTML/CSS,Tech Support
79,98,70,77,95,66,61,7,6,0,C/C++,MYSQL,DATA Scientist
26,10,89,89,85,84,77,7,6,3,Angular,Linux,Software Engineer
67,75,79,51,12,33,50,6,7,4,GitHub,Node.js,Web Developer
7,10,79,39,9,40,71,4,2,0,HTML/CSS,C/C++,Tech Support
79,69,83,82,35,61,50,5,7,4,Linux,React,Network Engineer
33,56,65,68,85,73,75,6,6,1,Oracle,Python,DATA Scientist
91,96,78,86,85,94,66,10,6,5,Oracle,Python,Software Engineer
65,55,71,56,10,70,80,6,7,4,MYSQL,Linux,Database Administrator
66,16,82,64,57,51,72,7,5,2,HTML/CSS,BASH/SHELL,Database Administrator
82,80,27,6,88,38,63,8,5,1,HTML/CSS,Angular,DATA Scientist
95,79,75,59,81,87,70,8,7,4,Java,React,Software Engineer
78,99,54,60,53,70,63,8,5,1,Ansible,R,DATA Scientist
25,43,33,45,22,26,58,1,10,5,GitHub,Photoshop,UI/UX
75,34,54,22,75,29,60,10,7,5,Java,Java,UI/UX
82,86,77,53,98,72,75,9,7,0,Python,Deep Learning,DATA Scientist
9,91,93,70,62,50,70,6,7,2,HTML/CSS,Oracle,Database Administrator
24,23,79,35,4,26,68,4,4,1,HTML/CSS,Java,Tech Support
74,94,79,79,65,64,74,7,5,1,HTML/CSS,Oracle,Database Administrator
64,47,40,100,12,18,81,3,6,1,Python,Python,Tech Support
17,27,74,79,34,41,60,5,3,0,HTML/CSS,Node.js,Database Administrator
85,80,78,49,85,80,61,4,5,8,Linux,Python,DATA Scientist
66,81,56,39,5,16,74,3,2,5,GitHub,Javascript,UI/UX
12,80,64,38,29,36,55,6,10,4,Javascript,HTML/CSS,UI/UX
87,89,84,22,13,76,62,8,4,3,Angular,C/C++,Software Engineer
47,83,93,20,20,38,50,4,10,5,GitHub,Javascript,Web Developer
79,92,73,77,60,62,64,6,5,2,R,Linux,Database Administrator
33,75,6,50,8,45,74,4,7,3,R,React,DATA Scientist
12,88,50,45,20,26,60,5,10,5,HTML/CSS,GitHub,UI/UX
56,97,74,68,50,44,69,7,7,1,C/C++,Java,Database Administrator
77,72,78,57,90,65,60,6,6,1,Tensorflow,Tensorflow,DATA Scientist
70,88,52,69,33,73,62,3,6,3,HTML/CSS,R,DATA Scientist
11,28,31,38,0,17,68,3,2,3,GitHub,HTML/CSS,UI/UX
94,80,68,85,74,88,77,9,7,3,C/C++,Java,Software Engineer
92,89,83,82,48,23,62,6,3,3,HTML/CSS,GitHub,Software Engineer
74,96,76,81,38,98,75,8,5,4,Python,HTML/CSS,Software Engineer
11,6,77,36,17,31,58,1,9,5,GitHub,HTML/CSS,Web Developer
76,68,82,81,75,79,76,7,7,1,Python,Linux,Network Engineer
98,79,93,92,80,82,78,8,6,4,MYSQL,C/C++,Software Engineer
66,96,71,56,45,58,89,7,5,2,Linux,HTML/CSS,Database Administrator
37,23,84,99,82,84,67,2,4,1,C/C++,Linux,Database Administrator
74,34,56,96,80,75,81,4,7,0,Pytorch,R,Tech Support
80,78,65,60,83,61,73,7,7,1,Tensorflow,Deep Learning,DATA Scientist
36,6,9,76,85,14,72,2,6,1,Python,Java,Tech Support
86,85,62,59,43,86,71,9,5,3,Machine Learning,HTML/CSS,DATA Scientist
82,86,70,62,71,80,69,6,4,4,Pytorch,Javascript,Software Engineer
19,80,42,46,19,22,65,1,7,4,HTML/CSS,GitHub,UI/UX
14,7,65,36,10,36,68,2,5,1,Javascript,HTML/CSS,Tech Support
63,89,59,55,37,33,75,4,9,3,Python,Javascript,UI/UX
75,82,88,89,43,96,63,7,5,5,Angular,Linux,Software Engineer
21,37,49,47,36,14,82,3,7,3,GitHub,HTML/CSS,UI/UX
55,96,71,55,34,36,50,4,10,8,GitHub,Node.js,Web Developer
71,95,6,50,88,41,74,3,5,3,Machine Learning,Ansible,DATA Scientist
11,98,84,70,28,47,82,3,7,5,Python,HTML/CSS,Database Administrator
98,72,90,75,71,70,63,7,5,4,Linux,HTML/CSS,Software Engineer
37,29,80,40,47,35,85,5,7,0,Python,HTML/CSS,Tech Support
86,65,83,85,85,64,72,9,6,0,Linux,Cisco Packet tracer,Network Engineer
23,38,6,44,19,14,49,2,10,3,Figma,HTML/CSS,UI/UX
57,70,81,53,37,78,41,6,7,3,React,Linux,Web Developer
71,97,75,89,68,72,75,7,6,2,Python,C/C++,Database Administrator
85,84,64,60,72,82,63,7,7,4,R,Machine Learning,DATA Scientist
56,8,83,83,48,47,75,5,5,3,HTML/CSS,HTML/CSS,Database Administrator
85,85,58,60,90,93,71,3,5,5,Python,HTML/CSS,DATA Scientist
77,36,80,77,39,84,62,6,6,3,HTML/CSS,MYSQL,Database Administrator
26,32,50,60,52,31,71,2,10,0,Photoshop,Javascript,UI/UX
23,72,72,53,72,63,62,8,6,1,R,Linux,DATA Scientist
16,36,29,25,21,34,60,1,9,4,HTML/CSS,Photoshop,UI/UX
97,82,71,84,76,80,60,7,7,4,Javascript,C/C++,Software Engineer
81,80,83,76,81,68,62,9,6,3,C/C++,Python,Software Engineer
50,49,86,95,76,59,63,8,5,0,Python,Pytorch,Network Engineer
90,85,78,99,85,82,62,9,6,6,Linux,MYSQL,Software Engineer
46,43,55,39,4,36,60,1,5,0,HTML/CSS,HTML/CSS,Tech Support
29,6,58,32,24,38,69,1,6,3,Node.js,Photoshop,UI/UX
88,71,50,56,98,61,61,7,7,1,R,R,DATA Scientist
73,73,18,70,73,98,88,10,7,4,Angular,HTML/CSS,Software Engineer
15,39,80,53,19,58,68,6,6,2,Angular,Javascript,Software Engineer
57,38,6,59,42,45,53,5,7,0,Python,C/C++,Tech Support
32,6,81,81,13,86,75,6,4,1,Wire Shark,C/C++,Network Engineer
88,31,72,89,31,46,56,4,4,1,Javascript,HTML/CSS,Web Developer
75,82,87,77,80,82,60,7,7,3,Linux,Oracle,Database Administrator
75,52,80,82,85,97,65,7,6,2,Linux,Ansible,Network Engineer
7,54,62,68,45,68,79,5,5,2,HTML/CSS,Java,Database Administrator
62,12,49,54,46,26,61,3,7,1,HTML/CSS,GitHub,UI/UX
74,65,15,60,10,28,60,5,3,0,Python,HTML/CSS,Tech Support
28,6,62,22,33,25,74,1,7,6,HTML/CSS,C/C++,UI/UX
89,75,86,89,75,80,62,7,6,4,HTML/CSS,Python,Software Engineer
79,76,81,87,16,83,77,8,6,8,Python,Python,Software Engineer
16,82,80,85,74,98,61,8,5,7,HTML/CSS,Oracle,Software Engineer
95,80,73,72,97,85,62,7,7,3,HTML/CSS,MYSQL,Software Engineer
63,86,31,52,40,58,59,6,7,1,Oracle,HTML/CSS,Database Administrator
25,32,85,21,21,24,80,4,5,0,Python,HTML/CSS,Tech Support
91,76,83,53,85,80,69,10,5,4,Python,Oracle,Software Engineer
60,63,54,28,34,17,59,4,4,0,GitHub,Javascript,UI/UX
71,66,78,65,93,86,60,6,6,2,Tensorflow,Deep Learning,DATA Scientist
58,50,12,48,3,31,52,5,8,0,Javascript,GitHub,Web Developer
98,75,49,60,31,92,63,3,5,3,C/C++,MYSQL,Software Engineer
29,84,68,61,78,71,84,7,6,2,Oracle,HTML/CSS,DATA Scientist
61,66,91,90,43,79,60,5,5,1,Python,HTML/CSS,Database Administrator
53,94,21,80,95,14,43,4,7,5,Python,HTML/CSS,Tech Support
52,79,84,51,86,34,80,5,7,6,GitHub,Javascript,Web Developer
29,17,92,87,74,68,71,8,6,1,Python,Wire Shark,Network Engineer
73,48,80,65,26,64,83,5,6,1,C/C++,Java,Database Administrator
75,56,80,61,91,36,72,6,4,4,Python,Python,Network Engineer
33,22,58,58,40,83,68,1,6,3,Python,HTML/CSS,DATA Scientist
25,92,49,45,29,25,62,1,7,3,Photoshop,Photoshop,UI/UX
32,30,12,43,15,15,69,3,8,4,GitHub,GitHub,UI/UX
69,48,24,26,47,34,66,5,4,0,Node.js,HTML/CSS,Tech Support
76,87,84,72,55,54,67,8,6,10,HTML/CSS,MYSQL,Database Administrator
75,82,66,72,97,61,75,7,5,0,Tensorflow,R,DATA Scientist
96,98,82,77,87,84,63,6,6,5,Oracle,C/C++,Software Engineer
70,19,6,67,93,66,78,2,6,2,Python,Tensorflow,DATA Scientist
76,82,65,60,70,81,64,7,7,3,Tensorflow,Machine Learning,DATA Scientist
96,90,70,77,74,86,61,7,5,2,C/C++,Linux,Software Engineer
53,84,92,75,45,30,52,5,5,7,HTML/CSS,Node.js,Web Developer
24,24,75,88,83,47,83,1,4,0,Linux,Python,Database Administrator
32,77,69,69,83,79,68,7,4,4,Pytorch,Python,DATA Scientist
20,39,85,52,14,51,77,5,6,0,HTML/CSS,C/C++,Database Administrator
48,51,91,36,14,38,54,3,9,5,Javascript,HTML/CSS,Web Developer
80,76,77,37,74,80,62,8,6,2,HTML/CSS,Java,Network Engineer
96,91,75,83,77,85,65,9,6,7,C/C++,Javascript,Software Engineer
29,60,58,26,15,33,72,5,4,0,HTML/CSS,C/C++,Tech Support
17,98,36,78,57,45,68,4,7,3,HTML/CSS,C/C++,Database Administrator
99,79,76,90,74,81,77,8,7,4,Oracle,React,Software Engineer
72,85,71,89,79,90,74,7,6,4,MYSQL,Python,Software Engineer
67,63,83,70,43,34,80,4,3,0,Python,C/C++,Database Administrator
83,50,81,72,84,83,76,7,6,1,BASH/SHELL,Cisco Packet tracer,Network Engineer
67,91,74,78,40,66,63,7,7,3,HTML/CSS,HTML/CSS,Database Administrator
61,90,70,80,51,68,80,6,5,5,Linux,Oracle,Database Administrator
71,81,70,53,95,86,70,9,7,4,Deep Learning,Pytorch,DATA Scientist
11,23,61,70,68,61,64,7,6,4,Linux,HTML/CSS,Database Administrator
7,95,94,59,39,33,64,3,7,10,HTML/CSS,HTML/CSS,Web Developer
19,73,78,48,49,56,48,6,6,0,HTML/CSS,MYSQL,Database Administrator
84,88,87,82,79,98,62,7,7,2,C/C++,Python,Software Engineer
72,85,86,79,81,89,72,6,7,3,Python,C/C++,Software Engineer
29,40,38,46,76,64,73,4,10,4,C/C++,HTML/CSS,UI/UX
44,47,33,24,11,35,61,2,10,3,Javascript,C/C++,UI/UX
83,67,69,64,98,72,67,7,6,1,Tensorflow,Python,DATA Scientist
83,72,52,6,45,34,72,2,7,1,HTML/CSS,Javascript,UI/UX
27,70,51,53,20,77,81,4,2,0,GitHub,HTML/CSS,Tech Support
60,6,43,39,2,47,89,5,4,0,HTML/CSS,C/C++,Tech Support
6,84,75,54,98,63,67,9,5,1,Deep Learning,Deep Learning,DATA Scientist
57,75,36,42,43,47,88,4,9,5,Node.js,GitHub,Web Developer
83,77,54,67,95,81,85,7,5,0,Tensorflow,R,DATA Scientist
62,61,86,79,46,57,83,6,7,0,MYSQL,Oracle,Database Administrator
63,70,64,60,94,67,71,9,7,4,Deep Learning,Machine Learning,DATA Scientist
88,45,50,32,8,27,77,4,10,0,HTML/CSS,React,Tech Support
10,56,37,96,73,25,83,7,6,0,HTML/CSS,HTML/CSS,Tech Support
7,62,56,74,53,48,63,4,6,3,HTML/CSS,Python,Database Administrator
48,42,66,44,79,28,77,5,7,3,HTML/CSS,React,UI/UX
85,81,93,77,80,95,71,5,6,3,Angular,Node.js,Software Engineer
73,86,76,80,87,77,63,5,7,0,MYSQL,Python,Database Administrator
38,30,19,49,7,39,69,4,10,4,HTML/CSS,HTML/CSS,UI/UX
17,82,53,10,33,31,71,2,5,3,C/C++,HTML/CSS,Tech Support
62,99,84,53,42,51,53,6,3,1,MYSQL,MYSQL,Database Administrator
95,76,76,26,78,80,62,6,7,1,Python,Javascript,Software Engineer
38,72,60,37,1,38,61,4,5,3,Python,GitHub,Tech Support
23,20,6,23,0,14,44,5,10,1,Java,Javascript,UI/UX
66,85,88,52,81,46,57,7,7,5,GitHub,Angular,Web Developer
55,10,75,37,39,39,46,5,7,8,Linux,Javascript,Web Developer
38,23,81,86,87,96,78,7,6,1,React,MYSQL,Software Engineer
6,97,81,86,39,42,65,5,7,0,Linux,Oracle,Database Administrator
37,54,31,55,15,77,84,1,7,0,Python,Machine Learning,DATA Scientist
41,81,10,81,25,14,61,5,7,6,Python,Java,Tech Support
83,84,66,80,79,89,77,10,5,3,Python,Wire Shark,Software Engineer
15,63,31,47,47,26,68,5,4,1,Python,C/C++,Tech Support
53,83,79,50,40,39,46,6,7,4,Oracle,HTML/CSS,Web Developer
74,78,62,59,78,91,64,8,5,3,Machine Learning,HTML/CSS,DATA Scientist
15,72,35,11,10,43,64,4,5,0,C/C++,HTML/CSS,Tech Support
64,36,50,48,4,16,82,4,9,4,Photoshop,HTML/CSS,UI/UX
68,87,88,36,44,37,59,5,7,5,C/C++,Python,Web Developer
97,81,81,81,71,95,66,5,5,4,C/C++,Linux,Software Engineer
34,13,30,74,88,60,77,9,6,1,Linux,Python,Tech Support
80,50,85,17,75,87,78,7,6,0,C/C++,Ansible,Network Engineer
71,80,75,54,82,65,68,8,6,4,Deep Learning,MYSQL,DATA Scientist
65,6,60,50,34,32,61,3,8,5,Javascript,HTML/CSS,Web Developer
74,74,79,50,82,54,63,7,5,4,Linux,R,DATA Scientist
20,66,30,74,5,25,75,5,4,0,HTML/CSS,Java,Tech Support
27,32,55,33,23,27,89,3,10,3,Photoshop,GitHub,UI/UX
68,91,66,84,88,70,69,9,4,3,HTML/CSS,GitHub,Database Administrator
83,63,88,75,86,77,82,8,7,2,Python,Ansible,Network Engineer
10,8,47,31,28,17,84,4,10,5,Figma,C/C++,UI/UX
33,76,53,35,29,25,64,2,5,4,HTML/CSS,Javascript,UI/UX
86,57,56,64,78,70,60,6,7,1,Deep Learning,R,DATA Scientist
84,34,37,30,90,26,62,2,10,4,Angular,Javascript,UI/UX
84,24,33,6,73,85,72,9,6,2,Deep Learning,Deep Learning,DATA Scientist
82,78,42,37,72,28,64,4,7,3,Javascript,HTML/CSS,UI/UX
67,77,10,10,21,35,45,3,5,4,Python,HTML/CSS,Tech Support
74,64,70,92,53,77,85,5,6,2,Python,Ansible,Network Engineer
24,57,84,66,60,54,75,6,4,1,Linux,HTML/CSS,Database Administrator
22,79,92,23,20,18,70,3,7,4,HTML/CSS,GitHub,UI/UX
22,24,92,65,92,73,70,7,7,4,HTML/CSS,Node.js,DATA Scientist
49,48,26,99,4,33,71,1,9,0,Photoshop,C/C++,UI/UX
60,77,6,22,27,36,80,5,7,6,HTML/CSS,Java,Web Developer
20,52,84,85,62,80,80,5,5,0,HTML/CSS,Python,Network Engineer
8,45,83,6,10,22,88,5,5,0,HTML/CSS,Oracle,Tech Support
63,48,79,88,77,51,87,5,7,4,HTML/CSS,Python,Network Engineer
37,32,36,35,15,18,79,4,8,1,GitHub,Javascript,UI/UX
83,45,84,95,74,82,62,10,5,3,Python,Oracle,Software Engineer
80,67,77,20,28,25,70,5,2,1,Python,Linux,Tech Support
39,57,80,79,74,86,76,7,5,3,C/C++,Python,Software Engineer
74,38,60,38,20,31,81,1,10,0,Figma,GitHub,UI/UX
50,76,85,82,42,56,47,7,2,0,Linux,Oracle,Database Administrator
87,70,50,60,77,95,74,6,7,3,HTML/CSS,C/C++,DATA Scientist
40,20,58,20,33,35,65,4,10,1,Photoshop,HTML/CSS,UI/UX
82,39,46,49,28,38,64,1,7,4,Photoshop,Javascript,UI/UX
96,80,88,59,73,83,62,7,6,3,HTML/CSS,C/C++,Software Engineer
7,82,7,37,21,34,65,3,5,0,Python,HTML/CSS,Tech Support
89,52,59,91,93,69,68,6,5,1,BASH/SHELL,Python,DATA Scientist
92,89,84,75,75,96,65,10,6,8,C/C++,MYSQL,Software Engineer
84,16,20,18,26,33,56,5,5,1,Python,HTML/CSS,Tech Support
27,34,53,63,8,49,75,1,4,1,HTML/CSS,C/C++,Tech Support
67,84,80,79,38,72,80,4,7,4,Python,C/C++,Database Administrator
82,65,94,65,83,80,78,7,6,2,Linux,Linux,Software Engineer
33,36,66,53,81,64,60,6,5,1,Deep Learning,R,DATA Scientist
16,80,70,64,2,19,62,7,6,1,HTML/CSS,Java,Tech Support
73,72,55,65,90,76,76,6,7,3,Deep Learning,Pytorch,DATA Scientist
72,80,85,70,77,84,78,10,5,8,Java,MYSQL,Software Engineer
24,64,25,6,66,32,66,6,6,0,HTML/CSS,C/C++,Tech Support
80,28,90,6,71,62,84,7,6,1,Oracle,HTML/CSS,Network Engineer
59,6,73,55,42,77,40,6,8,0,HTML/CSS,Node.js,Web Developer
54,85,59,53,16,67,61,3,7,2,React,C/C++,DATA Scientist
83,23,82,63,83,71,83,8,5,2,BASH/SHELL,HTML/CSS,Network Engineer
6,82,87,75,82,86,88,9,4,0,Linux,Python,Software Engineer
65,33,55,22,4,27,64,2,6,1,HTML/CSS,C/C++,Tech Support
70,82,76,50,32,50,79,6,6,4,Angular,Deep Learning,DATA Scientist
81,72,91,77,5,26,75,7,7,4,GitHub,Javascript,Software Engineer
32,45,49,79,11,36,71,2,10,3,Photoshop,HTML/CSS,UI/UX
22,6,30,86,5,24,64,3,5,4,HTML/CSS,HTML/CSS,Tech Support
7,71,67,57,77,84,72,7,4,3,Angular,Oracle,DATA Scientist
29,6,55,40,18,35,66,5,7,10,React,GitHub,UI/UX
57,6,71,21,35,69,62,4,5,5,HTML/CSS,C/C++,Database Administrator
23,83,77,43,27,47,63,5,3,4,HTML/CSS,Javascript,Web Developer
