DSA,DBMS,OS,CN,Mathmetics,Aptitute,Comm,Problem Solving,Creative,Hackathons,Skill 1,Skill 2,Profile
87,88,88,70,86,72,85,7,5,2,Linux,Linux,Database Administrator
72,92,83,73,66,79,77,7,6,1,Linux,Linux,Database Administrator
56,91,82,94,58,40,83,4,7,0,Angular,C/C++,Database Administrator
7,86,43,93,79,97,65,7,6,4,React,Linux,Software Engineer
56,17,90,57,57,52,64,5,5,8,Python,Python,Database Administrator
64,27,77,82,10,34,60,5,5,0,C/C++,MYSQL,Web Developer
25,33,11,6,27,25,57,1,9,10,HTML/CSS,GitHub,UI/UX
23,96,75,92,69,42,70,6,4,2,C/C++,Java,Database Administrator
25,96,51,47,84,92,79,1,7,4,Photoshop,Javascript,UI/UX
23,84,93,75,77,71,65,7,5,1,Pytorch,BASH/SHELL,Database Administrator
76,13,23,38,12,24,72,5,4,1,Python,Java,Tech Support
47,85,63,58,31,31,56,3,8,7,HTML/CSS,Photoshop,UI/UX
27,34,22,16,14,37,80,4,4,0,Java,HTML/CSS,Tech Support
65,68,79,96,62,76,80,8,5,2,Ansible,C/C++,Network Engineer
54,81,78,42,53,64,69,5,7,0,MYSQL,C/C++,Database Administrator
83,82,79,77,77,83,71,10,5,1,Linux,Linux,DATA Scientist
55,87,82,75,40,51,65,7,6,2,Angular,Oracle,Database Administrator
88,95,83,89,75,96,66,8,6,3,Python,BASH/SHELL,Software Engineer
25,27,59,30,8,33,77,1,8,0,Photoshop,Linux,UI/UX
84,60,75,97,83,86,72,8,5,1,Python,Python,Network Engineer
23,85,27,26,6,42,88,1,4,1,HTML/CSS,C/C++,Tech Support
32,79,53,23,11,35,77,4,9,3,Photoshop,Javascript,UI/UX
51,88,83,32,45,51,79,5,7,7,React,Angular,Web Developer
44,87,53,57,91,36,51,1,7,9,Angular,HTML/CSS,Web Developer
51,74,36,42,13,33,57,4,2,4,GitHub,HTML/CSS,Web Developer
47,29,41,6,13,14,74,1,10,3,Javascript,Photoshop,UI/UX
87,15,6,56,76,86,63,5,5,1,Python,Python,DATA Scientist
6,87,87,83,81,86,60,8,3,0,Python,C/C++,Software Engineer
53,42,82,76,81,81,83,8,7,1,BASH/SHELL,Python,Network Engineer
19,21,71,80,23,44,76,5,5,1,HTML/CSS,C/C++,Tech Support
59,52,34,95,3,33,87,4,6,0,HTML/CSS,C/C++,Tech Support
51,86,76,78,31,55,63,6,4,2,HTML/CSS,Oracle,Database Administrator
97,59,85,93,53,61,88,6,5,2,Python,Linux,Network Engineer
32,83,72,57,35,31,49,3,7,10,React,HTML/CSS,Web Developer
67,90,81,50,33,30,55,4,7,7,Node.js,HTML/CSS,Web Developer
22,34,50,32,1,44,82,3,3,3,HTML/CSS,Java,UI/UX
65,90,65,81,63,69,72,4,5,1,C/C++,Linux,Database Administrator
51,90,71,90,40,62,83,6,5,1,C/C++,Oracle,Database Administrator
63,67,79,93,63,73,80,7,4,2,C/C++,Ansible,Network Engineer
6,19,49,33,20,14,56,3,8,5,HTML/CSS,Java,Tech Support
81,50,80,88,74,81,72,6,7,2,React,Wire Shark,Network Engineer
32,15,34,45,20,38,76,4,10,4,Photoshop,Figma,UI/UX
44,91,76,41,2,54,79,4,9,4,HTML/CSS,Javascript,UI/UX
22,45,89,75,8,36,54,2,8,3,HTML/CSS,Photoshop,UI/UX
65,86,72,76,44,56,68,6,4,0,C/C++,HTML/CSS,Database Administrator
71,76,59,55,71,83,74,8,5,3,Tensorflow,Pytorch,DATA Scientist
80,67,83,88,72,72,78,6,6,0,Ansible,Ansible,Network Engineer
27,38,26,11,2,18,81,5,3,0,Python,C/C++,Tech Support
80,85,92,36,22,79,75,6,6,0,Python,Ansible,Network Engineer
80,83,88,83,38,81,73,9,6,0,Linux,HTML/CSS,Database Administrator
73,38,80,89,78,88,83,8,5,3,Python,Python,Network Engineer
83,61,89,84,60,75,73,9,6,0,Python,Javascript,Network Engineer
37,42,27,28,28,28,89,1,3,1,Javascript,GitHub,Tech Support
35,76,80,80,60,72,74,5,6,1,C/C++,Python,Network Engineer
76,50,77,21,38,72,73,9,4,0,Figma,Linux,Network Engineer
51,78,82,80,18,40,43,3,7,3,GitHub,HTML/CSS,Web Developer
74,29,92,16,29,62,62,7,4,1,Python,C/C++,DATA Scientist
50,60,75,80,81,83,70,7,7,2,Ansible,Python,Network Engineer
85,20,73,56,85,40,78,6,5,1,Linux,MYSQL,Web Developer
49,6,13,9,17,41,77,2,8,0,Figma,Javascript,UI/UX
24,17,21,53,4,39,76,5,5,1,C/C++,HTML/CSS,Tech Support
65,85,59,57,55,60,68,7,5,3,Python,Machine Learning,DATA Scientist
7,91,46,84,88,92,73,8,7,5,Oracle,HTML/CSS,Software Engineer
47,55,41,66,51,78,74,4,5,2,Tensorflow,Linux,Database Administrator
20,19,28,23,13,21,80,4,4,0,MYSQL,HTML/CSS,Tech Support
40,38,38,91,32,49,67,3,6,0,C/C++,C/C++,UI/UX
70,47,75,82,71,58,60,9,5,0,Python,Python,Network Engineer
73,78,80,65,82,83,79,7,5,0,Python,Ansible,DATA Scientist
15,77,92,89,11,17,59,5,4,1,Python,Java,Tech Support
56,48,93,29,3,33,85,4,7,5,Photoshop,HTML/CSS,UI/UX
99,18,58,48,3,34,76,5,4,0,Python,Python,Tech Support
74,53,25,53,64,62,75,6,5,2,Oracle,Linux,Network Engineer
58,47,41,83,43,61,89,6,7,0,C/C++,Linux,Database Administrator
70,32,48,33,3,33,75,4,10,1,Javascript,Photoshop,UI/UX
15,30,37,26,8,15,56,5,9,5,Photoshop,Figma,UI/UX
79,84,74,40,97,63,77,6,6,1,Java,Machine Learning,DATA Scientist
85,27,46,39,2,21,84,5,7,1,GitHub,HTML/CSS,UI/UX
73,83,71,96,51,93,73,8,6,0,Tensorflow,Angular,Software Engineer
49,89,77,70,76,84,84,7,5,3,Angular,Machine Learning,Database Administrator
70,48,88,89,81,83,72,6,7,0,Python,Python,Network Engineer
42,78,63,48,87,20,65,9,6,4,Tensorflow,Javascript,DATA Scientist
89,40,74,55,64,86,71,6,4,1,Python,Linux,Network Engineer
90,66,76,80,74,87,83,8,6,1,Java,Oracle,Network Engineer
62,95,60,68,45,70,67,6,5,2,C/C++,Python,Database Administrator
96,81,85,99,82,88,65,8,7,5,Python,Linux,Software Engineer
80,75,71,99,72,94,71,9,5,3,Linux,Python,Software Engineer
57,90,71,75,70,78,89,5,5,1,Linux,Oracle,Database Administrator
68,87,74,59,30,49,59,4,9,5,React,GitHub,Web Developer
91,25,60,57,93,15,64,1,5,2,Figma,Javascript,DATA Scientist
70,73,58,42,9,45,70,4,9,4,Javascript,HTML/CSS,UI/UX
52,72,69,67,55,68,80,7,5,3,Deep Learning,Python,DATA Scientist
84,60,78,85,83,73,60,7,5,0,Python,C/C++,Network Engineer
59,86,72,86,66,76,73,9,6,4,HTML/CSS,MYSQL,Software Engineer
81,73,74,53,56,89,72,5,5,3,Machine Learning,Linux,Database Administrator
63,14,12,11,34,34,47,5,8,1,HTML/CSS,Linux,Tech Support
84,64,81,91,78,90,79,9,5,3,Deep Learning,BASH/SHELL,Network Engineer
61,27,64,40,27,31,71,1,7,3,GitHub,Photoshop,UI/UX
64,98,79,74,48,75,84,6,6,1,Linux,Linux,Database Administrator
96,89,76,80,79,85,76,9,6,4,Angular,Node.js,Software Engineer
80,36,48,75,60,80,85,7,6,0,Wire Shark,Javascript,Network Engineer
65,40,59,51,73,44,71,4,9,1,Oracle,GitHub,Tech Support
98,77,70,79,71,82,71,7,6,1,Linux,Ansible,Software Engineer
32,11,39,46,18,22,60,5,7,5,HTML/CSS,HTML/CSS,UI/UX
35,25,92,93,4,22,55,5,2,2,C/C++,HTML/CSS,Tech Support
56,91,81,80,34,33,73,3,4,1,HTML/CSS,HTML/CSS,Tech Support
82,82,74,77,78,98,84,6,5,3,Angular,C/C++,Network Engineer
74,29,69,99,33,36,64,7,3,3,Python,HTML/CSS,DATA Scientist
69,80,80,50,43,53,89,6,5,0,C/C++,HTML/CSS,Web Developer
50,95,88,83,41,69,61,1,5,0,C/C++,C/C++,Database Administrator
75,77,84,79,55,85,74,8,5,1,Python,Python,DATA Scientist
71,91,85,77,71,62,73,6,5,1,BASH/SHELL,C/C++,DATA Scientist
78,87,68,63,88,62,79,9,7,1,Pytorch,Tensorflow,DATA Scientist
59,57,46,93,75,24,77,9,5,0,MYSQL,Python,Network Engineer
83,81,84,28,84,90,78,9,7,4,Python,GitHub,Software Engineer
90,92,70,90,38,48,74,6,7,2,HTML/CSS,HTML/CSS,Database Administrator
32,94,75,86,82,68,64,7,7,1,Python,Linux,DATA Scientist
81,22,83,28,19,29,80,5,9,1,HTML/CSS,Angular,Tech Support
36,21,6,72,81,81,74,9,5,0,MYSQL,Python,Tech Support
69,33,83,38,74,85,82,3,4,3,Javascript,C/C++,Tech Support
22,80,55,63,61,64,85,7,5,3,Oracle,Pytorch,Database Administrator
41,69,46,44,83,88,74,5,7,2,Wire Shark,Cisco Packet tracer,Network Engineer
8,25,6,30,23,17,69,1,7,4,HTML/CSS,Java,Tech Support
85,29,51,55,41,38,40,6,8,1,React,Node.js,Web Developer
58,96,78,88,33,41,45,2,5,4,HTML/CSS,Java,Web Developer
19,19,48,17,23,25,50,1,6,2,Figma,C/C++,Tech Support
79,59,76,72,80,69,62,7,3,2,Ansible,Cisco Packet tracer,Network Engineer
45,60,80,69,67,61,63,7,5,1,BASH/SHELL,Linux,DATA Scientist
24,23,34,43,24,28,52,4,10,4,HTML/CSS,HTML/CSS,UI/UX
78,22,92,90,70,82,79,8,6,0,HTML/CSS,HTML/CSS,Network Engineer
93,98,88,83,59,40,83,5,6,2,C/C++,Linux,Database Administrator
31,53,48,84,25,14,62,4,8,3,C/C++,C/C++,UI/UX
9,24,88,71,35,82,88,5,6,0,Figma,C/C++,Tech Support
86,20,62,75,53,53,74,10,6,2,Python,Deep Learning,Network Engineer
76,97,83,80,73,84,86,7,6,1,Python,Javascript,Network Engineer
79,70,72,67,96,62,70,6,5,1,Deep Learning,Pytorch,DATA Scientist
31,38,12,86,25,34,68,5,5,5,HTML/CSS,Java,Tech Support
39,78,66,53,14,47,80,5,7,3,HTML/CSS,Angular,UI/UX
62,89,72,72,20,65,88,6,6,2,Oracle,Javascript,Database Administrator
16,36,91,12,14,15,61,1,4,1,Python,C/C++,Tech Support
18,20,13,15,28,20,66,4,5,1,Java,Java,Tech Support
67,13,77,62,5,72,78,5,7,2,C/C++,MYSQL,Database Administrator
48,53,73,99,25,74,78,3,5,0,Ansible,Python,Network Engineer
6,88,73,79,73,53,62,8,5,0,C/C++,Java,Software Engineer
34,27,9,31,25,31,71,4,10,5,GitHub,HTML/CSS,UI/UX
63,77,89,84,69,69,75,5,6,3,Tensorflow,Linux,Network Engineer
6,77,83,87,48,40,55,5,6,3,C/C++,Python,Tech Support
48,35,32,31,7,31,68,5,5,0,GitHub,Java,Tech Support
59,49,79,73,51,85,88,6,6,4,HTML/CSS,GitHub,Database Administrator
71,82,65,45,98,83,81,7,4,2,Javascript,Deep Learning,DATA Scientist
55,93,74,55,36,68,55,7,5,3,HTML/CSS,HTML/CSS,Database Administrator
53,82,85,49,38,34,68,3,7,4,Angular,React,Web Developer
77,64,86,94,86,79,88,8,4,0,Ansible,Cisco Packet tracer,Network Engineer
58,86,62,60,5,65,65,5,5,1,Oracle,HTML/CSS,Database Administrator
6,87,88,88,64,40,66,9,6,0,Python,Tensorflow,Software Engineer
46,50,14,38,98,17,85,3,8,4,HTML/CSS,Figma,UI/UX
6,75,72,70,31,61,66,7,7,4,C/C++,C/C++,Software Engineer
87,91,70,62,84,65,73,7,7,2,HTML/CSS,Oracle,Software Engineer
65,31,92,66,25,30,67,10,7,3,HTML/CSS,C/C++,Database Administrator
56,59,84,99,69,98,72,8,6,7,Python,GitHub,Network Engineer
61,92,60,84,89,75,82,7,4,0,Linux,MYSQL,Database Administrator
56,72,81,97,50,72,70,8,4,2,Linux,HTML/CSS,Network Engineer
94,20,16,17,70,95,70,10,4,1,Python,HTML/CSS,Network Engineer
23,81,53,63,42,34,61,5,7,0,MYSQL,Linux,UI/UX
75,60,79,50,46,48,70,4,5,0,C/C++,HTML/CSS,Database Administrator
97,31,19,97,81,69,65,10,6,4,Python,MYSQL,Software Engineer
83,52,79,35,78,83,84,1,6,3,Javascript,Angular,Network Engineer
59,85,92,64,39,62,65,7,4,0,Oracle,Python,Database Administrator
94,6,76,84,33,74,77,7,4,0,Linux,BASH/SHELL,Network Engineer
55,39,39,61,37,33,44,4,8,5,GitHub,HTML/CSS,Web Developer
88,54,81,86,33,72,71,5,5,1,Ansible,Python,Network Engineer
86,47,80,89,75,75,60,8,6,2,Python,BASH/SHELL,Network Engineer
31,57,83,20,65,52,72,4,7,0,HTML/CSS,HTML/CSS,Tech Support
71,13,26,11,36,24,86,2,5,1,HTML/CSS,C/C++,Tech Support
98,23,87,62,81,89,76,9,6,2,R,BASH/SHELL,Network Engineer
50,44,73,15,26,41,50,4,2,5,Javascript,HTML/CSS,Web Developer
38,84,54,38,25,33,85,4,8,4,GitHub,HTML/CSS,Web Developer
93,81,86,87,81,92,86,6,5,10,HTML/CSS,Oracle,Software Engineer
90,78,73,94,79,32,49,9,7,4,Angular,Javascript,Software Engineer
77,86,71,58,36,57,53,6,6,5,C/C++,Angular,Web Developer
35,80,55,70,46,39,74,5,5,1,C/C++,HTML/CSS,Database Administrator
7,78,14,84,56,85,68,5,7,1,HTML/CSS,Java,Software Engineer
53,37,70,39,16,35,77,2,6,0,HTML/CSS,GitHub,Web Developer
10,86,72,83,36,48,72,4,4,1,HTML/CSS,MYSQL,Database Administrator
52,91,67,71,48,73,69,7,7,1,Tensorflow,HTML/CSS,Database Administrator
95,77,82,96,71,98,82,8,6,2,Python,Linux,Network Engineer
46,10,32,13,1,45,81,3,5,1,HTML/CSS,C/C++,Tech Support
55,91,67,69,93,68,86,6,4,4,Java,Pytorch,DATA Scientist
96,74,74,96,80,93,74,9,3,1,Deep Learning,Pytorch,DATA Scientist
89,75,83,64,81,77,63,6,5,1,Ansible,Linux,Database Administrator
96,57,18,76,86,75,74,2,5,1,Python,BASH/SHELL,Network Engineer
86,41,6,24,4,55,49,3,9,6,GitHub,HTML/CSS,UI/UX
60,84,59,62,79,63,60,6,5,2,Tensorflow,Pytorch,DATA Scientist
62,39,64,34,9,31,89,3,10,5,HTML/CSS,Figma,UI/UX
28,82,37,22,16,28,84,1,7,4,Javascript,GitHub,UI/UX
26,15,74,51,49,17,74,3,7,5,HTML/CSS,Angular,Web Developer
79,40,92,12,11,17,77,4,9,3,HTML/CSS,Photoshop,UI/UX
48,86,78,83,57,58,59,5,4,6,HTML/CSS,MYSQL,Database Administrator
73,62,78,81,30,66,88,5,7,2,React,Linux,Network Engineer
63,77,31,55,28,42,67,3,5,0,HTML/CSS,Javascript,Web Developer
49,58,51,21,15,34,78,2,7,3,GitHub,C/C++,UI/UX
52,83,62,24,29,45,44,5,8,8,Figma,Javascript,Web Developer
26,73,56,44,24,80,80,7,5,5,Angular,Javascript,UI/UX
38,60,69,94,70,81,87,6,4,1,Python,Ansible,Network Engineer
74,31,86,76,97,14,75,10,3,1,C/C++,Java,Software Engineer
58,99,81,85,44,64,80,5,5,2,MYSQL,C/C++,Database Administrator
53,82,69,52,68,68,75,6,5,1,Pytorch,Linux,Database Administrator
93,89,90,69,92,60,62,8,4,0,HTML/CSS,MYSQL,Software Engineer
16,7,9,69,38,38,70,4,2,1,HTML/CSS,Java,Tech Support
94,77,75,80,80,82,62,8,7,4,Angular,Python,Software Engineer
44,67,68,84,34,65,85,5,7,1,Python,HTML/CSS,Database Administrator
76,82,57,79,86,87,73,8,7,3,Oracle,Linux,Software Engineer
55,31,76,65,74,86,83,5,6,2,Oracle,Javascript,DATA Scientist
13,88,83,49,63,88,85,8,5,4,Python,Javascript,UI/UX
43,50,88,84,70,85,70,7,5,2,Python,BASH/SHELL,Network Engineer
77,80,87,11,42,48,79,4,3,1,Oracle,C/C++,Database Administrator
65,62,60,88,5,52,67,6,5,1,Python,Python,Database Administrator
74,96,77,53,26,85,71,10,3,1,C/C++,Python,Database Administrator
49,13,64,32,24,15,61,1,9,3,GitHub,Figma,UI/UX
11,41,58,15,71,21,60,4,6,3,Photoshop,Javascript,UI/UX
77,37,77,64,93,71,70,7,4,1,HTML/CSS,MYSQL,Database Administrator
75,97,79,71,81,68,65,7,5,1,MYSQL,Linux,Database Administrator
42,66,48,94,77,69,71,7,6,0,Python,Pytorch,Network Engineer
70,46,78,92,79,17,68,9,5,1,Linux,Ansible,Software Engineer
57,72,84,79,83,57,61,7,3,4,Linux,Javascript,Software Engineer
77,95,78,92,91,48,70,5,5,3,C/C++,Python,Database Administrator
48,8,68,63,10,45,80,3,9,6,HTML/CSS,HTML/CSS,Web Developer
90,75,92,35,11,20,65,4,3,4,Linux,React,Software Engineer
74,98,75,65,82,76,72,8,7,1,Oracle,Python,DATA Scientist
24,97,87,76,61,75,68,4,6,0,HTML/CSS,Python,Database Administrator
81,74,58,62,72,70,70,6,5,1,Cisco Packet tracer,R,DATA Scientist
87,40,87,79,88,65,85,7,6,2,Linux,Java,Network Engineer
45,60,15,26,7,49,40,5,9,3,GitHub,Figma,UI/UX
81,82,72,99,68,54,78,9,6,1,Java,MYSQL,Software Engineer
76,98,82,77,89,84,86,6,6,0,Wire Shark,Cisco Packet tracer,Network Engineer
86,11,45,75,50,84,89,8,5,2,Linux,Linux,Database Administrator
6,52,61,16,1,45,74,3,5,1,Python,HTML/CSS,Tech Support
62,80,93,69,43,53,84,6,7,4,Oracle,HTML/CSS,Web Developer
37,23,6,51,16,14,55,5,3,1,Javascript,C/C++,Tech Support
95,47,6,80,68,95,69,10,6,0,Python,HTML/CSS,Software Engineer
53,82,71,28,35,30,43,5,9,10,HTML/CSS,GitHub,Web Developer
86,38,27,43,40,20,69,6,4,1,C/C++,HTML/CSS,Tech Support
